age,country,streaming_platform,top_genre,minutes_streamed_per_day,number_of_songs_liked,most_played_artist,subscription_type,listening_time,discover_engagement,repeat_rate,age_group,region
34,japan,tidal,reggae,295,138,adele,free,afternoon,47.42,16.74,26-35,asia
24,germany,deezer,country,86,388,ed sheeran,premium,night,12.06,69.25,18-25,europe
49,germany,deezer,pop,363,368,post malone,premium,afternoon,47.19,67.38,36-50,europe
55,australia,youtube,reggae,348,349,dua lipa,premium,morning,31.27,76.51,50+,oceania
13,germany,amazon music,reggae,30,328,adele,free,night,30.68,43.41,<18,europe
25,south korea,spotify,edm,536,243,the weeknd,premium,afternoon,70.26,27.79,18-25,asia
49,australia,tidal,country,547,70,billie eilish,free,night,11.92,37.75,36-50,oceania
32,uk,amazon music,classical,98,448,dua lipa,premium,afternoon,29.48,18.8,26-35,europe
25,germany,tidal,metal,526,27,bts,premium,morning,85.7,42.38,18-25,europe
37,brazil,spotify,reggae,514,299,billie eilish,premium,morning,53.39,46.89,36-50,south_america
40,south korea,deezer,reggae,266,462,taylor swift,premium,morning,87.77,8.73,36-50,asia
43,brazil,spotify,rock,351,108,drake,free,afternoon,48.15,23.7,36-50,south_america
46,canada,deezer,rock,389,328,ed sheeran,premium,afternoon,20.24,43.38,36-50,north_america
57,germany,tidal,rock,506,432,drake,free,afternoon,41.11,37.83,50+,europe
23,india,apple music,hip-hop,502,215,dua lipa,premium,morning,68.46,48.6,18-25,asia
33,uk,spotify,hip-hop,193,11,drake,premium,morning,39.73,52.44,26-35,europe
19,india,spotify,country,542,499,adele,free,morning,21.43,20.6,18-25,asia
16,usa,apple music,r&b,13,423,adele,premium,morning,12.46,17.93,<18,north_america
17,germany,apple music,rock,383,468,billie eilish,premium,afternoon,25.09,8.58,<18,europe
39,india,deezer,r&b,147,461,bad bunny,premium,afternoon,48.81,37.66,36-50,asia
33,australia,apple music,edm,58,417,post malone,premium,afternoon,87.41,44.49,26-35,oceania
29,usa,deezer,metal,450,12,ed sheeran,premium,morning,60.39,14.44,26-35,north_america
40,brazil,tidal,jazz,445,221,dua lipa,premium,morning,80.53,78.27,36-50,south_america
42,brazil,amazon music,rock,547,248,post malone,free,night,26.03,8.42,36-50,south_america
35,south korea,deezer,pop,218,461,post malone,free,night,42.17,77.18,26-35,asia
53,brazil,apple music,reggae,87,347,ed sheeran,premium,afternoon,60.4,10.49,50+,south_america
23,japan,tidal,hip-hop,537,494,taylor swift,free,morning,88.09,62.45,18-25,asia
27,france,amazon music,jazz,203,437,taylor swift,free,morning,22.83,21.55,26-35,europe
40,germany,spotify,pop,267,475,drake,premium,afternoon,69.0,10.66,36-50,europe
42,canada,amazon music,reggae,151,195,taylor swift,premium,morning,63.01,47.74,36-50,north_america
51,canada,amazon music,edm,60,195,drake,premium,afternoon,22.74,30.0,50+,north_america
42,uk,amazon music,r&b,201,52,adele,free,afternoon,48.74,17.29,36-50,europe
47,usa,amazon music,jazz,564,400,drake,free,night,28.7,69.19,36-50,north_america
49,south korea,apple music,hip-hop,140,408,dua lipa,free,night,16.28,78.98,36-50,asia
58,brazil,deezer,r&b,187,439,drake,premium,morning,78.07,59.58,50+,south_america
25,france,apple music,edm,332,196,bts,free,night,72.27,15.08,18-25,europe
38,uk,deezer,metal,99,80,the weeknd,premium,night,54.04,20.32,36-50,europe
23,japan,apple music,reggae,265,95,adele,premium,morning,85.5,63.65,18-25,asia
26,japan,youtube,edm,370,4,bts,free,afternoon,77.3,71.5,26-35,asia
53,usa,apple music,reggae,478,300,taylor swift,free,afternoon,88.44,75.12,50+,north_america
33,south korea,amazon music,reggae,193,454,dua lipa,free,afternoon,13.37,69.69,26-35,asia
55,brazil,spotify,country,581,434,bad bunny,premium,night,44.52,65.62,50+,south_america
23,brazil,spotify,pop,93,264,adele,premium,night,38.82,12.88,18-25,south_america
50,france,amazon music,hip-hop,463,463,drake,premium,morning,66.21,59.49,36-50,europe
32,brazil,tidal,r&b,84,117,ed sheeran,premium,morning,26.08,8.72,26-35,south_america
42,india,youtube,hip-hop,404,464,ed sheeran,premium,morning,27.4,45.91,36-50,asia
53,usa,amazon music,pop,149,110,the weeknd,free,afternoon,47.11,50.35,50+,north_america
24,usa,youtube,rock,585,306,drake,premium,afternoon,77.42,10.46,18-25,north_america
40,brazil,deezer,edm,485,342,drake,premium,night,44.37,67.99,36-50,south_america
35,australia,apple music,edm,249,178,dua lipa,free,afternoon,34.56,19.68,26-35,oceania
56,france,tidal,rock,225,214,the weeknd,premium,morning,22.61,39.19,50+,europe
54,japan,tidal,metal,414,393,taylor swift,free,night,30.62,6.12,50+,asia
14,south korea,deezer,country,189,374,the weeknd,free,night,37.27,8.55,<18,asia
35,india,deezer,hip-hop,88,315,adele,premium,afternoon,85.45,79.32,26-35,asia
48,india,youtube,pop,43,490,post malone,premium,night,21.9,77.31,36-50,asia
20,canada,spotify,reggae,259,475,the weeknd,free,morning,85.11,78.75,18-25,north_america
48,brazil,youtube,classical,202,195,billie eilish,premium,afternoon,20.36,11.51,36-50,south_america
30,japan,tidal,jazz,429,8,dua lipa,free,morning,47.98,50.57,26-35,asia
17,uk,amazon music,country,282,225,adele,free,night,59.83,67.68,<18,europe
30,uk,amazon music,classical,67,191,bts,free,night,85.0,53.98,26-35,europe
18,france,youtube,country,587,320,billie eilish,premium,morning,11.06,32.11,<18,europe
60,usa,apple music,rock,262,301,bts,free,morning,35.53,55.35,50+,north_america
35,australia,spotify,jazz,372,283,ed sheeran,free,morning,84.71,56.46,26-35,oceania
52,canada,apple music,r&b,229,79,bad bunny,premium,afternoon,55.78,11.71,50+,north_america
26,south korea,tidal,hip-hop,316,451,billie eilish,premium,morning,32.01,23.09,26-35,asia
59,uk,deezer,r&b,334,454,bts,premium,night,61.36,60.91,50+,europe
53,usa,youtube,rock,580,151,adele,premium,morning,36.39,30.59,50+,north_america
51,south korea,tidal,jazz,538,363,dua lipa,premium,morning,20.13,16.15,50+,asia
48,uk,youtube,jazz,394,434,bad bunny,premium,morning,63.15,8.39,36-50,europe
57,japan,youtube,jazz,228,94,the weeknd,free,afternoon,80.01,55.59,50+,asia
57,australia,tidal,edm,570,71,bts,premium,afternoon,78.83,59.12,50+,oceania
40,india,spotify,reggae,342,212,drake,free,afternoon,78.62,38.47,36-50,asia
34,uk,youtube,country,530,310,ed sheeran,free,afternoon,33.21,18.58,26-35,europe
51,france,tidal,jazz,251,236,post malone,premium,afternoon,70.99,67.63,50+,europe
27,south korea,spotify,country,331,476,post malone,premium,afternoon,51.64,11.71,26-35,asia
27,brazil,amazon music,r&b,149,122,drake,free,morning,50.76,56.23,26-35,south_america
18,usa,tidal,classical,435,165,bts,free,night,24.8,62.1,<18,north_america
33,japan,deezer,edm,419,440,taylor swift,premium,afternoon,18.06,74.21,26-35,asia
14,australia,youtube,pop,364,171,ed sheeran,premium,night,11.74,46.14,<18,oceania
48,south korea,tidal,jazz,23,259,post malone,free,night,67.97,46.68,36-50,asia
47,uk,apple music,jazz,365,259,bad bunny,free,morning,15.61,66.64,36-50,europe
22,canada,spotify,country,13,64,ed sheeran,premium,morning,27.3,23.04,18-25,north_america
60,germany,tidal,metal,574,419,bad bunny,free,morning,33.0,41.73,50+,europe
37,japan,apple music,hip-hop,474,272,billie eilish,premium,afternoon,16.37,53.46,36-50,asia
19,south korea,tidal,rock,252,129,dua lipa,premium,afternoon,18.05,21.08,18-25,asia
40,australia,tidal,r&b,123,222,post malone,premium,afternoon,89.08,31.46,36-50,oceania
57,brazil,youtube,r&b,49,207,the weeknd,free,night,65.27,71.22,50+,south_america
40,india,tidal,country,88,153,taylor swift,premium,afternoon,53.63,60.28,36-50,asia
53,australia,deezer,pop,217,67,drake,free,night,88.6,30.39,50+,oceania
43,south korea,spotify,edm,222,70,bts,premium,night,88.91,64.34,36-50,asia
13,australia,amazon music,country,31,354,bad bunny,free,morning,25.42,72.64,<18,oceania
42,uk,amazon music,metal,426,339,adele,free,morning,88.4,41.19,36-50,europe
46,france,deezer,rock,265,170,post malone,free,night,56.93,21.18,36-50,europe
20,brazil,apple music,classical,578,150,bad bunny,premium,afternoon,26.23,61.41,18-25,south_america
16,germany,amazon music,hip-hop,451,451,billie eilish,premium,morning,81.19,38.14,<18,europe
43,canada,amazon music,rock,454,328,post malone,premium,afternoon,71.16,58.49,36-50,north_america
59,canada,spotify,edm,283,87,post malone,free,night,61.27,59.11,50+,north_america
27,south korea,apple music,pop,136,101,adele,free,morning,64.6,54.91,26-35,asia
